gene,log2FC,FDR,RPKM control root,RPKM  roots treated with BA,description
LOC_Os02g46560,-1.43,3.51E-06,1.518,0.536,"helix-loop-helix DNA-binding protein, putative "
LOC_Os02g58220,-1.43,6.75E-15,13.241,4.662,RPA2A - Putative single-stranded DNA binding complex subunit 2 
LOC_Os06g01860,-1.43,5.94E-10,27.882,9.643,expressed protein
LOC_Os01g73250,-1.43,1.47E-12,24.201,8.513,"abscisic stress-ripening, putative "
LOC_Os11g29400,-1.43,2.11E-28,204.730,71.178,"6-phosphogluconate dehydrogenase, decarboxylating, putative "
LOC_Os09g27220,-1.43,9.09E-10,5.542,1.926,"ATBRXL3/BRX-LIKE3, putative "
LOC_Os05g31970,-1.43,4.28E-06,3.201,1.114,expressed protein
LOC_Os09g21450,-1.43,5.95E-12,10.582,3.679,"cyclin, putative "
LOC_Os07g31430,-1.43,6.41E-07,2.686,0.940,phosphate-induced protein 1 conserved region domain containing protein 
LOC_Os09g15510,-1.44,6.44E-05,1.446,0.497,"peroxidase precursor, putative "
LOC_Os09g31210,-1.44,5.63E-20,16.537,5.719,"AGC_PVPK_like_CDK8.1 - ACG kinases include homologs to PKA, PKG and PKC, "
LOC_Os06g36920,-1.44,1.27E-22,21.059,7.342,"cytochrome P450, putative "
LOC_Os06g32890,-1.44,4.63E-05,0.328,0.114,retrotransposon protein putative Ty3-gypsy subclass 
LOC_Os02g51550,-1.44,4.29E-10,6.110,2.129,DUF581 domain containing protein 
LOC_Os03g12660,-1.44,6.87E-22,88.712,31.003,"cytochrome P450, putative "
LOC_Os07g49140,-1.44,1.50E-05,1.304,0.454,expressed protein
LOC_Os03g12290,-1.45,9.69E-10,121.839,41.681,glutamine synthetase catalytic domain containing protein 
LOC_Os05g12580,-1.45,3.84E-13,69.611,23.913,expressed protein
LOC_Os03g25370,-1.45,2.26E-09,13.758,4.717,"peroxidase precursor, putative "
LOC_Os01g20980,-1.45,1.29E-12,26.156,9.042,"pectinesterase, putative "
LOC_Os01g01170,-1.45,1.15E-09,3.290,1.143,expressed protein
LOC_Os01g70590,-1.45,3.65E-10,8.450,2.900,"DUF567 domain containing protein, putative "
LOC_Os10g39936,-1.45,5.61E-10,10.026,3.430,"zinc finger, C3HC4 type domain containing protein"
LOC_Os01g43890,-1.46,6.49E-09,3.504,1.201,OsSCP4 - Putative Serine Carboxypeptidase homologue 
LOC_Os05g25910,-1.46,1.75E-06,2.102,0.712,DUF623 domain containing protein 
LOC_Os02g53620,-1.46,1.71E-24,22.296,7.638,"nuclear transcription factor Y subunit, putative "
LOC_Os02g56520,-1.46,1.72E-15,45.882,15.826,expressed protein
LOC_Os01g16770,-1.46,1.59E-27,37.602,12.842,"expansin precursor, putative "
LOC_Os09g27230,-1.46,2.16E-19,23.650,8.110,"brevis radix, putative "
LOC_Os05g42130,-1.46,3.23E-08,2.709,0.923,"MONOCULM 1, putative "
LOC_Os09g37690,-1.46,1.49E-07,2.232,0.764,"flavin-containing monooxygenase family protein, putative "
LOC_Os01g65140,-1.46,3.71E-21,27.826,9.520,"peptide transporter PTR2, putative "
LOC_Os03g47210,-1.46,4.20E-07,4.284,1.453,expressed protein
LOC_Os04g01550,-1.46,1.91E-05,2.476,0.857,"peroxidase precursor, putative "
LOC_Os06g51180,-1.47,1.43E-06,3.003,1.019,"lysine ketoglutarate reductase trans-splicing related 1, putative "
LOC_Os06g48810,-1.47,2.63E-12,13.247,4.492,OsHKT2;1 - Na+ transporter
LOC_Os08g07970,-1.47,6.15E-35,94.285,32.046,"transcription factor, putative "
LOC_Os02g01220,-1.47,1.35E-35,106.936,36.374,"rhodanese-like domain containing protein, putative "
LOC_Os08g25710,-1.47,1.76E-05,1.042,0.349,CSLD3 - cellulose synthase-like family D 
LOC_Os05g50160,-1.47,4.70E-16,9.036,3.066,DUF617 domain containing protein 
LOC_Os01g52514,-1.47,1.03E-05,1.557,0.519,B3 DNA binding domain containing protein 
LOC_Os10g36924,-1.48,8.54E-28,49.605,16.733,"aquaporin protein, putative "
LOC_Os05g42360,-1.48,5.13E-14,35.731,11.999,expressed protein
LOC_Os06g16000,-1.48,2.24E-08,2.251,0.761,"UDP-glucoronosyl and UDP-glucosyl transferase, putative "
LOC_Os02g09510,-1.48,3.49E-18,9.962,3.340,"limonoid UDP-glucosyltransferase, putative "
LOC_Os09g29360,-1.48,3.21E-12,5.321,1.783,"helix-loop-helix DNA-binding protein, putative "
LOC_Os05g37140,-1.48,7.54E-37,101.193,34.082,2Fe-2S iron-sulfur cluster binding domain containing protein 
LOC_Os05g41090,-1.48,1.83E-11,17.270,5.752,CAMK_CAMK_like_CG18020d.1 - CAMK includes calcium/calmodulin depedent protein kinases 
LOC_Os10g33900,-1.49,4.72E-07,3.240,1.099,possible lysine decarboxylase domain containing protein 
LOC_Os05g16420,-1.49,3.36E-22,45.734,15.350,"SHR5-receptor-like kinase, putative "
LOC_Os05g51690,-1.49,7.90E-35,53.326,17.939,CCT motif family protein 
LOC_Os04g39130,-1.49,1.62E-06,1.919,0.638,expressed protein
LOC_Os03g28130,-1.49,2.99E-06,1.568,0.525,OsFBX94 - F-box domain containing protein 
LOC_Os03g07660,-1.49,1.73E-05,7.332,2.470,expressed protein
LOC_Os01g56660,-1.49,2.20E-16,5.426,1.807,expressed protein
LOC_Os06g12840,-1.50,3.13E-07,2.329,0.783,expressed protein
LOC_Os10g27980,-1.50,5.65E-08,4.097,1.360,"transmembrane amino acid transporter protein, putative "
LOC_Os03g52320,-1.50,7.28E-09,3.553,1.188,"GRF-interacting factor 1, putative "
LOC_Os07g01620,-1.50,1.53E-10,5.118,1.689,"dirigent, putative "
LOC_Os02g51280,-1.50,2.88E-10,2.877,0.959,"TCP-domain protein, putative "
LOC_Os07g34850,-1.50,1.75E-28,22.605,7.512,"aspartic proteinase nepenthesin, putative "
LOC_Os12g06280,-1.50,8.26E-17,21.649,7.177,expressed protein
LOC_Os09g26170,-1.51,2.78E-28,83.543,27.566,"MYB family transcription factor, putative "
LOC_Os07g45490,-1.51,1.08E-24,6.546,2.167,expressed protein
LOC_Os01g65120,-1.51,6.75E-05,0.975,0.311,"peptide transporter, putative "
LOC_Os03g07510,-1.51,2.65E-19,23.374,7.702,expressed protein
LOC_Os10g41720,-1.52,5.12E-13,6.278,2.075,"peroxidase precursor, putative "
LOC_Os04g55280,-1.52,8.25E-07,1.470,0.476,expressed protein
LOC_Os05g16930,-1.52,1.24E-28,55.393,18.133,protein kinase domain containing protein 
LOC_Os10g31380,-1.52,3.65E-09,22.055,7.311,"glycine-rich cell wall structural protein 2 precursor, putative "
LOC_Os03g24560,-1.52,4.17E-15,14.225,4.672,"ompA/MotB, putative "
LOC_Os10g09760,-1.52,1.53E-06,2.400,0.775,expressed protein
LOC_Os11g10510,-1.52,2.56E-36,163.519,53.655,"dehydrogenase, putative "
LOC_Os01g36580,-1.52,4.89E-14,6.112,2.009,"auxin-induced protein 5NG4, putative "
LOC_Os09g31438,-1.52,8.07E-07,1.791,0.587,OsSPL17 - SBP-box gene family member 
LOC_Os01g06310,-1.52,2.66E-14,42.484,13.995,"glycine-rich cell wall structural protein precursor, putative "
LOC_Os06g14030,-1.52,4.19E-34,34.179,11.217,"potassium channel SKOR, putative "
LOC_Os02g20360,-1.52,1.07E-09,3.552,1.170,"tyrosine aminotransferase, putative "
LOC_Os11g47460,-1.52,9.44E-30,247.257,81.303,"MYB family transcription factor, putative "
LOC_Os03g16950,-1.53,1.06E-32,44.567,14.613,"cysteine-rich repeat secretory protein 55 precursor, putative "
LOC_Os02g30190,-1.53,9.23E-22,37.489,12.180,expressed protein
LOC_Os06g40430,-1.53,4.74E-10,5.723,1.869,expressed protein
LOC_Os12g42400,-1.53,3.40E-26,23.236,7.615,"nuclear transcription factor Y subunit, putative "
LOC_Os09g37780,-1.53,1.56E-05,1.408,0.453,"serine/threonine-protein kinase receptor precursor, putative "
LOC_Os01g43110,-1.53,1.67E-07,0.986,0.316,expressed protein
LOC_Os07g34710,-1.54,1.17E-08,2.964,0.954,"peroxidase precursor, putative "
LOC_Os08g45000,-1.55,1.78E-07,1.822,0.589,"inorganic phosphate transporter, putative "
LOC_Os01g46810,-1.55,3.50E-32,13.280,4.274,viral A-type inclusion protein repeat containing protein 
LOC_Os04g54474,-1.55,1.24E-41,61.986,19.953,"transcription factor, putative "
LOC_Os04g42740,-1.55,5.59E-08,5.374,1.706,"serine/threonine-protein kinase receptor precursor, putative "
LOC_Os07g12480,-1.55,1.21E-07,1.527,0.487,"receptor protein kinase, putative "
LOC_Os04g06300,-1.56,5.19E-07,1.187,0.386,expressed protein
LOC_Os04g34240,-1.56,5.61E-21,16.602,5.328,"histone H3, putative "
LOC_Os07g48980,-1.56,1.69E-19,10.333,3.302,"nicotianamine synthase, putative "
LOC_Os06g15620,-1.56,2.10E-25,55.559,17.806,GASR7 - Gibberellin-regulated GASA/GAST/Snakin family protein precursor
LOC_Os02g31910,-1.56,9.80E-05,0.363,0.114,"potassium transporter, putative "
LOC_Os07g46480,-1.56,3.44E-07,5.525,1.781,"eukaryotic aspartyl protease domain containing protein, "
LOC_Os02g54370,-1.57,2.61E-07,1.749,0.552,"hypro1, putative "
LOC_Os01g37110,-1.57,1.24E-29,20.980,6.650,"ABIL2, putative "
LOC_Os06g41700,-1.57,5.90E-28,26.482,8.418,"expansin precursor, putative "
LOC_Os03g24510,-1.57,1.02E-07,1.919,0.597,"glycosyl transferase 8 domain containing protein, putative "
LOC_Os01g01910,-1.57,4.69E-08,4.720,1.497,expressed protein
LOC_Os04g46950,-1.57,6.24E-06,1.381,0.429,expressed protein
LOC_Os11g16970,-1.58,3.40E-16,13.783,4.329,"carnitine racemase like protein, putative "
LOC_Os05g39540,-1.58,1.49E-13,30.006,9.407,"metal cation transporter, putative "
LOC_Os02g52450,-1.58,1.40E-09,3.661,1.154,"regulator of ribonuclease, putative "
LOC_Os04g47930,-1.58,5.15E-27,44.025,13.939,"aluminum-activated malate transporter, putative "
LOC_Os11g30110,-1.58,4.02E-08,2.731,0.847,"disease resistance RPP13-like protein 1, putative "
LOC_Os12g41450,-1.58,7.15E-05,0.709,0.221,F-box domain containing protein 
LOC_Os03g44190,-1.59,2.38E-16,7.797,2.456,expressed protein
LOC_Os04g42570,-1.59,2.36E-10,2.145,0.676,"AP2/EREBP transcription factor BABY BOOM, putative "
LOC_Os06g06430,-1.59,1.50E-22,10.179,3.187,expressed protein
LOC_Os12g38750,-1.59,4.27E-11,2.616,0.813,"nucleotide pyrophosphatase/phosphodiesterase, putative "
LOC_Os12g21760,-1.59,6.00E-05,4.923,1.500,"RALFL25 - Rapid ALkalinization Factor RALF family protein precursor, putative "
LOC_Os11g44970,-1.59,9.47E-11,1.409,0.437,"NBS-LRR disease resistance protein, putative "
LOC_Os11g04020,-1.60,3.81E-05,1.972,0.606,"major facilitator superfamily antiporter, putative "
LOC_Os08g37030,-1.60,1.81E-05,0.994,0.307,"gibberellin receptor GID1L2, putative "
LOC_Os02g10030,-1.60,2.58E-19,34.727,10.734,expressed protein
LOC_Os01g63460,-1.60,4.47E-38,19.179,5.942,"MYB family transcription factor, putative "
LOC_Os02g33060,-1.61,4.74E-05,1.229,0.375,expressed protein
LOC_Os01g51550,-1.61,5.51E-05,0.546,0.166,peroxidase family protein 
LOC_Os01g71080,-1.61,1.14E-22,16.096,4.983,"xylanase inhibitor, putative "
LOC_Os05g35380,-1.61,4.13E-07,3.762,1.172,"universal stress protein domain containing protein, putative "
LOC_Os04g33600,-1.61,5.12E-18,7.091,2.187,"hydrolase, alpha/beta fold family protein, putative "
LOC_Os07g25030,-1.61,2.61E-05,2.466,0.755,"transposon protein, putative CACTA, En/Spm sub-class"
LOC_Os09g15370,-1.61,3.70E-14,19.197,5.858,expressed protein
LOC_Os01g65904,-1.61,5.33E-05,1.047,0.316,expressed protein
LOC_Os06g32580,-1.62,1.56E-07,2.637,0.820,"transposon protein, putative CACTA, En/Spm sub-class"
LOC_Os08g40940,-1.62,2.10E-28,119.280,36.838,expressed protein
LOC_Os04g45860,-1.62,4.09E-30,10.888,3.330,"transposon protein, putative unclassified "
LOC_Os07g45290,-1.62,1.66E-14,13.003,3.960,"cytochrome P450 72A1, putative "
LOC_Os01g13070,-1.62,1.33E-12,4.443,1.363,expressed protein
LOC_Os07g06860,-1.62,6.53E-19,9.108,2.780,"gibberellin receptor GID1L2, putative "
LOC_Os06g12310,-1.62,1.92E-28,50.035,15.273,"aquaporin protein, putative "
LOC_Os10g09160,-1.63,3.11E-05,1.730,0.521,"cytochrome P450, putative "
LOC_Os10g31690,-1.63,4.09E-09,7.547,2.309,"glycine-rich cell wall structural protein 2 precursor, putative "
LOC_Os06g47750,-1.63,1.70E-25,14.722,4.440,"phytosulfokine receptor precursor, putative "
LOC_Os01g70970,-1.64,1.19E-21,9.509,2.872,"protein kinase, putative "
LOC_Os01g32150,-1.64,1.01E-05,2.410,0.710,expressed protein
LOC_Os07g36750,-1.64,7.53E-25,15.605,4.728,"CSLF3 - cellulose synthase-like family F; beta1,3;1,4 glucan synthase"
LOC_Os02g54450,-1.64,4.59E-11,4.403,1.332,"hypro1, putative "
LOC_Os02g26210,-1.64,8.51E-10,3.594,1.082,"flowering promoting factor-like 1, putative "
LOC_Os03g20650,-1.65,2.86E-05,2.945,0.901,bZIP transcription factor domain containing protein 
LOC_Os06g50480,-1.65,4.62E-09,8.040,2.427,bZIP transcription factor domain containing protein 
LOC_Os12g37840,-1.65,2.63E-36,86.849,26.031,"boron transporter protein, putative "
LOC_Os10g20650,-1.65,1.68E-05,1.262,0.379,"glucan endo-1,3-beta-glucosidase-related, putative "
LOC_Os04g27190,-1.65,1.16E-06,2.501,0.737,"terpene synthase, putative "
ChrSy.fgenesh.mRNA.21,-1.65,3.93E-20,6.738,2.024,expressed protein
LOC_Os03g60430,-1.65,6.76E-25,7.661,2.288,AP2 domain containing protein 
LOC_Os08g41590,-1.65,5.04E-08,2.921,0.862,"peptide transporter PTR2, putative "
LOC_Os05g11130,-1.66,2.05E-43,55.109,16.479,"cytochrome P450, putative "
LOC_Os03g39850,-1.66,4.35E-06,1.932,0.580,"glutathione S-transferase, putative "
LOC_Os10g31510,-1.66,1.74E-18,32.954,9.908,"glycine-rich cell wall structural protein 2 precursor, putative "
LOC_Os01g65670,-1.66,1.80E-28,26.297,7.836,"amino acid transporter, putative "
LOC_Os06g14670,-1.66,3.47E-08,2.057,0.613,"ODORANT1, putative "
LOC_Os07g26660,-1.66,1.57E-22,43.087,12.785,"aquaporin protein, putative "
LOC_Os10g35830,-1.66,1.74E-07,7.326,2.210,expressed protein
LOC_Os08g15460,-1.66,3.30E-32,35.971,10.721,"preprotein translocase subunit secY, putative "
LOC_Os03g05500,-1.66,1.58E-18,22.473,6.645,"DUF260 domain containing protein, putative "
LOC_Os07g44550,-1.67,1.71E-42,46.376,13.722,"peroxidase precursor, putative "
LOC_Os06g16170,-1.67,4.54E-15,4.726,1.395,expressed protein
LOC_Os10g30340,-1.67,5.02E-09,3.706,1.094,"expansin precursor, putative "
LOC_Os04g39980,-1.67,1.97E-19,12.285,3.641,"gibberellin 20 oxidase 2, putative "
LOC_Os06g07240,-1.67,1.44E-10,5.567,1.627,X8 domain containing protein 
LOC_Os03g25360,-1.68,9.12E-10,5.226,1.539,"peroxidase precursor, putative "
LOC_Os02g56510,-1.68,3.05E-36,152.394,44.987,"phosphate transporter 1, putative "
LOC_Os08g32840,-1.68,1.01E-10,8.354,2.437,"bifunctional monodehydroascorbate reductase and carbonic anhydrasenectarin-3 precursor, putative "
LOC_Os01g01180,-1.68,4.02E-05,5.790,1.677,expressed protein
LOC_Os12g38370,-1.69,3.66E-11,8.445,2.460,RALFL41 - Rapid ALkalinization Factor RALF family protein precursor 
LOC_Os02g13100,-1.69,3.68E-45,140.545,41.009,"protein phosphatase 2C, putative "
LOC_Os06g39780,-1.69,9.91E-11,26.166,7.533,"cytochrome P450, putative "
LOC_Os04g41350,-1.69,6.14E-27,15.837,4.621,"amino acid transporter, putative "
LOC_Os06g23420,-1.70,1.12E-07,1.092,0.317,exostosin family domain containing protein 
LOC_Os07g28880,-1.70,2.10E-17,22.372,6.489,expressed protein
LOC_Os06g08820,-1.70,1.56E-07,1.469,0.417,"RING-H2 finger protein, putative "
LOC_Os09g21430,-1.70,6.84E-07,0.399,0.116,ZOS9-05 - C2H2 zinc finger protein 
LOC_Os07g48596,-1.71,1.73E-20,9.551,2.770,"Myb transcription factor, putative "
LOC_Os05g33430,-1.71,1.91E-10,2.569,0.745,"xyloglucanase inhibitor, putative "
LOC_Os03g46470,-1.71,1.88E-18,26.218,7.510,"metal cation transporter, putative "
LOC_Os07g42040,-1.71,1.53E-05,2.275,0.653,"DC1 domain-containing protein, putative "
LOC_Os01g64120,-1.71,3.13E-39,76.857,22.132,2Fe-2S iron-sulfur cluster binding domain containing protein 
LOC_Os06g29470,-1.71,3.11E-12,8.226,2.346,"peroxidase precursor, putative "
LOC_Os04g57130,-1.71,2.52E-09,5.577,1.590,"dirigent-like protein pDIR17, putative "
LOC_Os10g06740,-1.71,2.44E-12,1.339,0.384,"receptor-like protein kinase precursor, putative "
LOC_Os01g73700,-1.71,1.30E-11,3.776,1.077,"RCLEA2 - Root cap and Late embryogenesis related family protein precursor, putative "
LOC_Os07g47750,-1.72,3.39E-44,232.422,66.809,POEI49 - Pollen Ole e I allergen and extensin family protein precursor 
LOC_Os03g55760,-1.72,1.78E-06,1.173,0.328,"MYB family transcription factor, putative "
LOC_Os07g01090,-1.72,1.53E-29,20.310,5.839,"transmembrane amino acid transporter protein, putative "
LOC_Os07g45570,-1.72,3.09E-33,27.155,7.737,expressed protein
LOC_Os07g01440,-1.73,5.93E-41,62.466,17.717,"plastocyanin-like domain containing protein, putative "
LOC_Os02g13020,-1.73,8.84E-14,4.647,1.320,expressed protein
LOC_Os01g11830,-1.73,7.12E-05,4.560,1.275,"oryzain alpha chain precursor, putative "
LOC_Os05g31140,-1.73,4.57E-26,40.897,11.509,"glycosyl hydrolases family 17, putative "
LOC_Os03g61100,-1.73,4.27E-10,2.971,0.841,"GDP-mannose transporter, putative "
LOC_Os10g42960,-1.74,2.35E-14,17.560,4.915,"urea active transporter, putative "
LOC_Os08g27020,-1.74,5.44E-06,2.275,0.635,expressed protein
LOC_Os08g07490,-1.74,7.61E-30,181.917,51.591,expressed protein
LOC_Os06g34330,-1.74,2.09E-11,28.314,7.910,expressed protein
LOC_Os11g05050,-1.74,2.74E-22,334.661,95.246,"stem-specific protein TSJT1, putative "
LOC_Os02g36590,-1.74,7.09E-35,16.628,4.671,CPuORF19 - conserved peptide uORF-containing transcript 
LOC_Os02g56260,-1.75,8.52E-13,2.798,0.788,expressed protein
LOC_Os09g25810,-1.75,1.65E-15,5.552,1.553,"nodulin, putative "
LOC_Os08g10420,-1.75,4.71E-05,0.649,0.178,transferase family domain containing protein 
LOC_Os06g33200,-1.75,1.27E-08,3.352,0.940,expressed protein
LOC_Os01g13780,-1.75,7.78E-05,0.850,0.244,expressed protein
LOC_Os03g21480,-1.75,5.35E-33,72.843,20.416,"HAD superfamily phosphatase, putative "
LOC_Os06g13110,-1.75,6.77E-06,0.399,0.110,"retrotransposon protein, putative unclassified "
LOC_Os05g11250,-1.76,4.25E-10,3.300,0.925,"lachrymatory factor synthase, putative "
LOC_Os03g17760,-1.76,1.70E-44,28.613,7.984,"RNA recognition motif containing protein, putative "
LOC_Os07g10590,-1.76,8.49E-08,2.784,0.770,"transporter family protein, putative "
LOC_Os04g40990,-1.76,2.32E-29,14.578,4.059,"malate synthase, glyoxysomal, putative "
LOC_Os04g44060,-1.76,2.53E-31,230.633,63.830,"aquaporin protein, putative "
LOC_Os03g06050,-1.76,5.63E-09,3.102,0.849,"expansin precursor, putative "
LOC_Os02g51110,-1.76,3.08E-41,2321.767,643.313,"aquaporin protein, putative "
LOC_Os02g03960,-1.77,1.43E-47,79.514,22.052,CPuORF1 - conserved peptide uORF-containing transcript 
LOC_Os05g36010,-1.77,3.38E-16,2.808,0.770,OsSub47 - Putative Subtilisin homologue 
LOC_Os04g28860,-1.77,1.72E-11,1.610,0.443,expressed protein
LOC_Os06g43440,-1.77,1.64E-08,6.184,1.701,"cytochrome P450, putative "
LOC_Os04g56130,-1.77,7.67E-06,0.945,0.256,protein kinase domain containing protein 
LOC_Os10g38870,-1.78,2.20E-37,46.147,12.705,heavy metal-associated domain containing protein 
LOC_Os12g38350,-1.78,7.59E-06,1.659,0.449,RALFL43 - Rapid ALkalinization Factor RALF family protein precursor 
LOC_Os07g01110,-1.78,9.29E-28,8.326,2.283,"laccase precursor protein, putative "
LOC_Os02g36595,-1.79,7.23E-31,17.624,4.808,expressed protein
LOC_Os01g50820,-1.79,3.90E-18,16.507,4.503,"transporter, major facilitator family, putative "
LOC_Os06g10980,-1.79,1.28E-05,0.560,0.148,"xyloglucan fucosyltransferase, putative "
LOC_Os04g01910,-1.79,7.30E-08,1.922,0.527,"legume lectins beta domain containing protein, putative "
LOC_Os01g17420,-1.80,9.61E-08,3.863,1.047,expressed protein
LOC_Os11g26950,-1.80,9.70E-05,0.451,0.116,UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein 
LOC_Os10g22450,-1.80,1.93E-09,1.327,0.356,"inositol-3-phosphate synthase, putative "
LOC_Os04g56180,-1.81,1.52E-21,10.090,2.724,"peroxidase precursor, putative "
LOC_Os01g43460,-1.81,6.60E-32,30.586,8.230,C4-dicarboxylate transporter/malic acid transport protein 
LOC_Os04g43390,-1.81,2.43E-35,17.170,4.586,Os4bglu16 - monolignol beta-glucoside homologue 
LOC_Os02g49260,-1.81,4.14E-11,3.760,0.991,"transporter-related, putative "
LOC_Os03g11734,-1.82,5.74E-40,68.004,18.200,"MATE efflux protein, putative "
LOC_Os09g39070,-1.82,1.55E-07,167.908,44.107,"thiol protease SEN102 precursor, putative "
LOC_Os04g39380,-1.82,8.05E-08,3.709,0.981,"heavy metal transport/detoxification protein, putative "
LOC_Os06g08500,-1.83,5.66E-13,4.507,1.191,"BHLH transcription factor, putative "
LOC_Os09g36560,-1.83,5.83E-09,2.408,0.639,"thaumatin, putative "
LOC_Os10g39770,-1.83,2.17E-26,5.974,1.587,zinc finger C3HC4 type domain containing protein 
LOC_Os04g41780,-1.83,4.38E-05,2.461,0.661,expressed protein
LOC_Os01g14640,-1.84,4.00E-05,1.292,0.338,expressed protein
LOC_Os12g13720,-1.84,1.31E-52,43.159,11.379,Plant PDR ABC transporter associated domain containing protein 
LOC_Os03g24650,-1.84,8.74E-05,0.733,0.194,terpene synthase family metal binding domain containing protein 
LOC_Os06g21820,-1.84,1.83E-22,39.538,10.346,"jasmonate O-methyltransferase, putative "
LOC_Os01g46410,-1.84,6.09E-13,4.690,1.243,"leaf senescence related protein, putative "
LOC_Os08g07500,-1.84,4.32E-07,1.194,0.306,DUF617 domain containing protein 
LOC_Os02g09070,-1.85,1.04E-20,15.936,4.160,"zinc-binding protein, putative "
LOC_Os10g32170,-1.85,6.58E-16,3.092,0.808,"xyloglucan galactosyltransferase KATAMARI1, putative "
LOC_Os03g02860,-1.86,1.16E-37,22.167,5.785,heavy metal-associated domain containing protein 
LOC_Os03g25280,-1.86,1.09E-14,5.271,1.356,"peroxidase precursor, putative "
LOC_Os07g15370,-1.86,2.88E-40,120.570,31.128,"metal transporter Nramp6, putative "
LOC_Os12g32360,-1.87,4.38E-54,51.814,13.392,expressed protein
LOC_Os08g44940,-1.87,1.64E-10,3.220,0.819,"DUF260 domain containing protein, putative "
LOC_Os05g35360,-1.87,3.66E-11,1.446,0.376,"beta-galactosidase 7 precursor, putative "
LOC_Os03g37411,-1.87,6.72E-24,7.191,1.858,"MATE efflux family protein, putative "
LOC_Os01g55320,-1.87,3.61E-06,2.244,0.583,heavy metal-associated domain containing protein 
